item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
세종 - 계 - 매우 안전하지 않음,Statistics,,,,,7.3,2.8,2.358,2.256,3.369
세종 - 계 - 보통,Statistics,,,,,42.0,43.1,38.691,43.891,39.297
세종 - 계 - 비교적 안전,Statistics,,,,,17.0,25.6,37.262,31.583,34.636
세종 - 계 - 비교적 안전하지 않음,Statistics,,,,,32.8,26.8,16.091,17.734,18.67
세종 - 남자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 남자 - 매우 안전,Statistics,,,,,1.3,1.6,8.742,5.718,5.248
세종 - 남자 - 매우 안전하지 않음,Statistics,,,,,5.1,2.3,2.235,2.553,2.882
세종 - 남자 - 보통,Statistics,,,,,43.7,44.4,35.798,41.235,37.653
세종 - 남자 - 비교적 안전,Statistics,,,,,19.1,28.8,40.0,35.088,38.025
세종 - 남자 - 비교적 안전하지 않음,Statistics,,,,,30.8,23.0,13.225,15.407,16.192
세종 - 여자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 여자 - 매우 안전,Statistics,,,,,0.4,1.9,2.505,3.356,2.866
세종 - 여자 - 매우 안전하지 않음,Statistics,,,,,9.5,3.3,2.478,1.961,3.833
세종 - 여자 - 보통,Statistics,,,,,40.3,41.8,41.538,46.539,40.859
세종 - 여자 - 비교적 안전,Statistics,,,,,14.9,22.6,34.568,28.089,31.416
세종 - 여자 - 비교적 안전하지 않음,Statistics,,,,,34.9,30.5,18.911,20.055,21.026
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 매우 안전,Statistics,0.1,0.7,0.7,0.7,1.2,1.2,3.913,4.801,2.409
울산 - 계 - 매우 안전하지 않음,Statistics,5.4,6.6,6.4,13.7,9.0,3.1,2.807,3.149,3.039
울산 - 계 - 보통,Statistics,43.7,51.4,49.0,43.9,42.1,51.1,45.09,43.702,45.904
울산 - 계 - 비교적 안전,Statistics,8.9,13.4,13.7,7.1,9.3,20.3,33.804,31.734,26.884
울산 - 계 - 비교적 안전하지 않음,Statistics,41.9,28.0,30.2,34.7,38.4,24.3,14.387,16.614,21.765
울산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 남자 - 매우 안전,Statistics,0.1,1.3,0.8,0.7,1.7,1.7,5.489,6.875,3.33
울산 - 남자 - 매우 안전하지 않음,Statistics,4.8,5.5,6.3,13.3,7.6,2.1,2.962,3.416,2.278
울산 - 남자 - 보통,Statistics,45.1,53.5,50.2,45.0,43.0,50.9,41.664,41.146,44.861
울산 - 남자 - 비교적 안전,Statistics,10.9,15.7,14.7,8.6,11.0,23.4,36.235,35.326,29.45
울산 - 남자 - 비교적 안전하지 않음,Statistics,39.1,24.1,28.0,32.5,36.7,21.8,13.651,13.238,20.081
울산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 여자 - 매우 안전,Statistics,,0.1,0.6,0.7,0.6,0.6,2.217,2.607,1.443
울산 - 여자 - 매우 안전하지 않음,Statistics,6.0,7.7,6.4,14.1,10.5,4.1,2.64,2.866,3.838
울산 - 여자 - 보통,Statistics,42.2,49.2,47.7,42.7,41.1,51.4,48.778,46.407,46.997
울산 - 여자 - 비교적 안전,Statistics,7.0,11.0,12.8,5.6,7.5,16.9,31.185,27.935,24.194
울산 - 여자 - 비교적 안전하지 않음,Statistics,44.8,32.0,32.5,37.0,40.3,27.0,15.179,20.185,23.529
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 계 - 매우 안전,Statistics,0.3,0.7,0.6,0.8,1.2,1.1,3.07,3.519,3.178
인천 - 계 - 매우 안전하지 않음,Statistics,6.5,7.2,7.0,11.2,10.7,4.0,3.576,3.428,4.422
인천 - 계 - 보통,Statistics,40.9,45.3,53.0,42.0,42.4,46.7,42.739,46.475,46.1
인천 - 계 - 비교적 안전,Statistics,6.9,11.0,9.6,10.9,10.1,16.2,29.556,30.403,21.56
인천 - 계 - 비교적 안전하지 않음,Statistics,45.4,35.8,29.7,35.2,35.6,32.0,21.059,16.175,24.74
인천 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 남자 - 매우 안전,Statistics,0.4,0.8,0.9,0.9,1.2,1.3,3.699,4.529,4.224
인천 - 남자 - 매우 안전하지 않음,Statistics,6.0,7.0,5.5,9.6,6.8,3.5,3.085,2.724,3.323
인천 - 남자 - 보통,Statistics,39.8,46.6,53.1,44.6,47.5,49.6,42.521,46.626,45.223
인천 - 남자 - 비교적 안전,Statistics,7.3,12.7,11.9,13.8,12.0,18.8,32.687,33.184,23.957
인천 - 남자 - 비교적 안전하지 않음,Statistics,46.5,32.8,28.6,31.0,32.5,26.8,18.008,12.937,23.273
인천 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 여자 - 매우 안전,Statistics,0.2,0.5,0.3,0.7,1.3,0.9,2.446,2.511,2.121
인천 - 여자 - 매우 안전하지 않음,Statistics,7.0,7.3,8.5,12.6,14.6,4.5,4.063,4.131,5.532
인천 - 여자 - 보통,Statistics,41.9,44.1,52.9,39.4,37.4,43.9,42.955,46.325,46.985
인천 - 여자 - 비교적 안전,Statistics,6.5,9.4,7.4,8.0,8.1,13.7,26.455,27.625,19.14
인천 - 여자 - 비교적 안전하지 않음,Statistics,44.4,38.8,30.9,39.2,38.6,37.1,24.081,19.408,26.222
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 매우 안전,Statistics,0.2,0.6,0.9,0.6,1.1,1.3,2.997,3.388,2.866
전국 - 계 - 매우 안전하지 않음,Statistics,5.6,4.7,5.7,11.4,9.4,3.7,3.2,2.639,3.724
전국 - 계 - 보통,Statistics,40.4,50.2,48.9,39.6,41.2,48.2,44.35,44.951,45.552
전국 - 계 - 비교적 안전,Statistics,8.0,10.7,12.9,8.9,12.1,19.2,28.776,29.961,26.004
전국 - 계 - 비교적 안전하지 않음,Statistics,45.8,33.8,31.6,39.5,36.1,27.6,20.677,19.06,21.853
전국 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - 매우 안전,Statistics,0.2,0.7,1.1,0.8,1.5,1.8,3.825,4.481,3.771
전국 - 남자 - 매우 안전하지 않음,Statistics,5.0,4.0,4.8,9.7,7.4,3.1,2.8,2.27,3.079
전국 - 남자 - 보통,Statistics,41.7,51.2,49.8,42.2,44.0,48.5,43.367,44.007,45.425
전국 - 남자 - 비교적 안전,Statistics,9.1,12.7,15.1,10.9,14.4,22.7,32.202,32.547,28.793
전국 - 남자 - 비교적 안전하지 않음,Statistics,44.0,31.3,29.1,36.3,32.6,23.9,17.807,16.695,18.931
전국 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - 매우 안전,Statistics,0.2,0.4,0.7,0.4,0.8,0.8,2.186,2.304,1.977
전국 - 여자 - 매우 안전하지 않음,Statistics,6.2,5.4,6.6,13.0,11.4,4.3,3.592,3.005,4.358
전국 - 여자 - 보통,Statistics,39.2,49.2,48.1,37.0,38.5,48.0,45.314,45.888,45.677
전국 - 여자 - 비교적 안전,Statistics,7.0,8.8,10.7,7.0,9.8,15.8,25.419,27.395,23.264
전국 - 여자 - 비교적 안전하지 않음,Statistics,47.4,36.2,34.0,42.6,39.5,31.1,23.49,21.407,24.724
전남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - 매우 안전,Statistics,0.5,1.6,1.6,0.6,1.0,2.2,2.855,3.285,2.217
전남 - 계 - 매우 안전하지 않음,Statistics,6.5,6.6,3.1,10.4,7.7,2.5,1.242,2.646,4.481
전남 - 계 - 보통,Statistics,42.0,44.5,48.5,39.4,43.6,44.1,45.55,44.274,48.593
전남 - 계 - 비교적 안전,Statistics,7.3,14.6,18.5,10.9,10.4,24.2,28.862,25.616,21.506
전남 - 계 - 비교적 안전하지 않음,Statistics,43.8,32.8,28.3,38.7,37.3,27.0,21.491,24.179,23.202
전남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 남자 - 매우 안전,Statistics,0.3,1.5,2.0,0.7,0.8,2.5,3.657,4.441,2.7
전남 - 남자 - 매우 안전하지 않음,Statistics,6.2,6.0,3.7,9.6,7.6,2.9,1.011,2.908,3.463
전남 - 남자 - 보통,Statistics,41.5,46.8,46.8,41.3,48.1,42.7,43.123,42.574,47.812
