item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경기 수원시 - 무농약농산물 - 출하량,Statistics,94.0,197.0,129.5,109.7,156.33,98.14,72.08,59.4,79.89,66.48
경기 수원시 - 유기농산물 - 건수,Statistics,4.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
경기 수원시 - 유기농산물 - 농가수,Statistics,7.0,6.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
경기 수원시 - 유기농산물 - 면적,Statistics,7.0,6.0,4.3,1.5,1.54,1.54,1.59,1.59,1.59,1.59
경기 수원시 - 유기농산물 - 출하량,Statistics,98.0,264.0,123.6,121.0,47.98,73.3,111.45,96.9,85.15,126.65
경기 수원시 - 저농약농산물 - 건수,Statistics,1.0,,,,,,,,,
경기 수원시 - 저농약농산물 - 농가수,Statistics,16.0,,,,,,,,,
경기 수원시 - 저농약농산물 - 출하량,Statistics,293.0,,,,,,,,,
경기도 소계 - 계 - 건수,Statistics,3384.0,3524.0,3718.0,3797.0,3918.0,3961.0,3830.0,3648.0,3552.0,3565.0
경기도 소계 - 계 - 농가수,Statistics,5530.0,5222.0,5326.0,5320.0,5366.0,5331.0,5238.0,4835.0,4703.0,4737.0
경기도 소계 - 계 - 면적,Statistics,5277.0,5024.0,5368.7,5433.7,5437.16,5480.87,5365.97,5071.66,5239.47,5334.48
경기도 소계 - 계 - 출하량,Statistics,85480.0,109453.0,77910.7,77045.6,77265.31,80527.05,78424.68,74981.49,77437.87,79775.87
경기도 소계 - 무농약농산물 - 건수,Statistics,2588.0,2736.0,2913.0,3021.0,3119.0,3133.0,2980.0,2824.0,2759.0,2783.0
경기도 소계 - 무농약농산물 - 농가수,Statistics,3851.0,4046.0,4183.0,4229.0,4247.0,4191.0,4066.0,3734.0,3664.0,3716.0
경기도 소계 - 무농약농산물 - 면적,Statistics,3173.0,3322.0,3704.0,3825.1,3829.5,3906.77,3818.71,3638.65,3943.8,4033.11
경기도 소계 - 무농약농산물 - 출하량,Statistics,65831.0,99125.0,68046.8,67487.9,68109.59,71929.38,69563.8,67714.18,70607.56,72800.17
