item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
나주시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
남구 - 교육대＜br＞(C),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
남구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
남구 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
남구 - 일반대＜br＞(A),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
남구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
남양주시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
남양주시 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
남양주시 - 전문대＜br＞(B),Statistics,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
남원시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
남원시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
남해군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
남해군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
남해군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
노원구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,5.0
노원구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
