item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
광양시 - 주민등록인구＜br＞(B),Statistics,137601.0,138098.0,138237.0,138865.0,141388.0,143461.0,145512.0,150725.0,150837.0,151621.0,152097.0,153587.0,155580.0,155857.0,156564.0,156750.0,151769.0,150531.0,152168.0
광주광역시 - 사회복지시설수＜br＞(A),Statistics,44.0,51.0,57.0,73.0,92.0,110.0,136.0,142.0,143.0,153.0,160.0,161.0,152.0,153.0,152.0,152.0,148.0,158.0,237.0
광주광역시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.1,3.6,4.0,5.2,6.5,7.7,9.3,9.7,9.7,10.4,10.8,10.9,10.3,10.5,10.4,10.4,10.2,11.0,16.6
광주광역시 - 주민등록인구＜br＞(B),Statistics,1401172.0,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0
광주시 - 사회복지시설수＜br＞(A),Statistics,14.0,16.0,17.0,19.0,21.0,18.0,20.0,18.0,24.0,29.0,33.0,34.0,49.0,49.0,49.0,48.0,48.0,50.0,55.0
광주시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,6.8,7.5,7.7,8.3,8.9,7.5,8.0,6.8,8.7,10.1,11.0,10.9,15.0,14.2,13.5,12.9,12.6,12.9,14.0
광주시 - 주민등록인구＜br＞(B),Statistics,205641.0,214498.0,222048.0,229319.0,234777.0,238583.0,249789.0,265222.0,275656.0,286699.0,298858.0,312579.0,327723.0,345947.0,363782.0,372654.0,382054.0,387289.0,391462.0
광진구 - 사회복지시설수＜br＞(A),Statistics,,,,1.0,5.0,15.0,24.0,24.0,25.0,25.0,25.0,28.0,26.0,23.0,24.0,24.0,24.0,24.0,23.0
광진구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,,,0.3,1.3,4.0,6.4,6.5,6.7,6.8,6.9,7.8,7.3,6.4,6.7,6.8,6.9,7.1,6.8
광진구 - 주민등록인구＜br＞(B),Statistics,380537.0,375613.0,374442.0,376572.0,375482.0,373998.0,375463.0,371936.0,371313.0,368927.0,363354.0,360369.0,357215.0,357703.0,355559.0,351350.0,346682.0,339996.0,337416.0
괴산군 - 사회복지시설수＜br＞(A),Statistics,1.0,2.0,9.0,10.0,10.0,10.0,14.0,14.0,14.0,16.0,15.0,15.0,13.0,15.0,13.0,14.0,14.0,14.0,13.0
괴산군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,2.5,5.2,24.0,27.1,27.3,27.2,38.0,37.5,37.1,42.0,39.1,38.7,33.4,38.4,33.2,35.7,35.5,36.7,35.1
괴산군 - 주민등록인구＜br＞(B),Statistics,39586.0,38595.0,37570.0,36873.0,36566.0,36775.0,36827.0,37333.0,37713.0,38059.0,38351.0,38787.0,38973.0,39054.0,39133.0,39163.0,39393.0,38122.0,37055.0
구례군 - 사회복지시설수＜br＞(A),Statistics,,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0
구례군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,3.4,3.5,3.5,10.8,10.9,14.6,14.6,18.5,25.8,25.8,25.6,25.5,21.8,22.1,26.4,19.4,19.8,20.3
구례군 - 주민등록인구＜br＞(B),Statistics,30232.0,29577.0,28837.0,28203.0,27703.0,27518.0,27375.0,27422.0,27077.0,27115.0,27170.0,27308.0,27412.0,27525.0,27117.0,26563.0,25719.0,25235.0,24655.0
구로구 - 사회복지시설수＜br＞(A),Statistics,8.0,9.0,9.0,9.0,16.0,18.0,22.0,21.0,25.0,26.0,28.0,30.0,33.0,28.0,30.0,31.0,30.0,28.0,27.0
구로구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.9,2.2,2.1,2.1,3.8,4.3,5.2,4.9,5.8,6.1,6.6,7.1,7.9,6.8,7.4,7.6,7.4,7.1,6.8
구로구 - 주민등록인구＜br＞(B),Statistics,416828.0,416405.0,419832.0,420542.0,420795.0,421967.0,423736.0,427468.0,427520.0,424964.0,425831.0,422092.0,417551.0,410742.0,404497.0,406664.0,404408.0,396754.0,395315.0
구리시 - 사회복지시설수＜br＞(A),Statistics,,,1.0,,6.0,7.0,13.0,12.0,14.0,14.0,16.0,16.0,21.0,24.0,25.0,26.0,27.0,25.0,24.0
구리시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,,0.5,,3.1,3.6,6.6,6.2,7.3,7.4,8.6,8.6,10.8,12.0,12.3,13.0,13.7,13.0,12.7
구리시 - 주민등록인구＜br＞(B),Statistics,193438.0,192548.0,193847.0,196800.0,195874.0,195593.0,196398.0,194881.0,192341.0,189680.0,186820.0,186721.0,193763.0,200042.0,203553.0,199265.0,197454.0,191948.0,188701.0
구미시 - 사회복지시설수＜br＞(A),Statistics,3.0,3.0,5.0,5.0,7.0,14.0,30.0,35.0,38.0,31.0,45.0,47.0,46.0,47.0,44.0,45.0,51.0,52.0,51.0
