item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
사상구 - 지가변동률,Statistics,,,,,,,,,-0.25,0.27,0.21,-2.0,0.11,0.47,-0.14,0.81,0.28,0.11
사천군 - 지가변동률,Statistics,0.0,2.9,4.22,2.57,3.33,1.71,-0.08,-0.26,-0.03,,,,,,,,,
사천시 - 지가변동률,Statistics,,,,,,,,,0.01,0.13,0.2,-0.28,0.17,1.16,0.58,1.37,0.14,0.19
사하구 - 지가변동률,Statistics,,,,,,,,,-0.07,0.09,0.02,-1.79,0.1,0.35,-0.11,0.16,0.31,0.12
산청군 - 지가변동률,Statistics,0.54,3.42,3.85,1.37,0.48,0.38,0.01,-0.25,0.0,0.19,0.2,0.03,0.29,0.43,0.1,0.11,0.19,0.21
삼척군 - 지가변동률,Statistics,0.43,7.99,9.11,2.98,1.63,0.83,-0.13,0.04,,,,,,,,,,
삼척시 - 지가변동률,Statistics,1.08,7.03,6.81,4.71,3.56,1.54,0.05,-0.1,0.26,0.33,0.13,-0.06,0.1,0.22,0.01,0.26,0.34,0.27
삼천포시 - 지가변동률,Statistics,2.4,11.2,4.96,2.54,4.04,1.07,-0.3,-0.3,-0.03,,,,,,,,,
상주군 - 지가변동률,Statistics,0.03,2.56,6.28,0.11,0.16,0.12,0.02,-0.07,,,,,,,,,,
상주시 - 지가변동률,Statistics,0.61,6.94,6.26,3.41,2.4,0.92,0.02,-0.16,0.3,0.82,0.14,0.08,0.22,0.33,-0.01,0.13,-0.41,0.3
서구 - 지가변동률,Statistics,,,,,,,,,-0.22,0.03,-0.23,-2.07,0.14,0.37,-0.03,0.27,0.31,0.13
서대문구 - 지가변동률,Statistics,0.58,6.62,18.54,8.54,4.73,0.26,-0.82,-0.33,-0.31,-0.02,0.14,-2.03,0.12,0.5,0.23,2.69,0.13,2.11
서산군 - 지가변동률,Statistics,1.96,7.11,9.23,10.75,2.29,0.82,-0.45,-0.27,,,,,,,,,,
서산시 - 지가변동률,Statistics,,,7.3,7.96,3.42,1.34,-0.28,-0.15,-0.35,-0.65,0.19,-0.08,0.4,0.52,0.1,0.24,0.24,0.68
서울특별시 - 지가변동률,Statistics,0.64,7.75,20.71,11.36,5.91,0.03,-0.88,-0.69,0.0,0.16,0.15,-2.07,0.2,0.46,0.1,3.0,0.34,2.1
서천군 - 지가변동률,Statistics,1.48,13.1,4.2,5.11,2.14,0.48,-0.24,-0.44,-0.11,0.09,-0.13,0.33,0.45,0.62,0.41,0.14,0.05,0.14
서초구 - 지가변동률,Statistics,,6.88,24.92,13.15,6.48,0.07,-2.11,-1.14,-0.26,0.15,-0.06,-2.12,0.12,0.58,0.04,3.97,0.03,2.04
선산군 - 지가변동률,Statistics,0.22,2.87,4.17,4.91,0.4,0.54,-0.05,-0.32,,,,,,,,,,
성남시 - 지가변동률,Statistics,2.78,6.18,17.74,7.27,5.08,1.39,-0.98,-0.92,0.05,-0.02,0.14,-2.47,0.23,0.02,0.24,2.51,1.77,2.76
성동구 - 지가변동률,Statistics,0.11,8.33,21.04,11.75,9.43,0.62,-1.04,-0.22,1.15,0.35,0.06,-1.71,0.15,0.57,0.04,2.47,0.23,2.09
