item,category,2020,2021,2022,2023
상주시 - 4년전 총인구,Statistics,99484.0,98189.0,97558.0,96641.0
상주시 - 5년간 연평균 인구증감률,Statistics,-1.0,-1.2,-1.1,-1.0
상주시 - 당해년 총인구,Statistics,95473.0,93722.0,93208.0,92990.0
서구 - 4년전 총인구,Statistics,109916.0,106924.0,107028.0,105847.0
서구 - 5년간 연평균 인구증감률,Statistics,-1.1,-0.7,-0.5,-0.5
서구 - 당해년 총인구,Statistics,105303.0,104130.0,104824.0,103883.0
서귀포시 - 4년전 총인구,Statistics,161046.0,169358.0,175350.0,177360.0
서귀포시 - 5년간 연평균 인구증감률,Statistics,2.6,1.4,0.8,0.5
서귀포시 - 당해년 총인구,Statistics,178552.0,179238.0,181094.0,181214.0
서대문구 - 4년전 총인구,Statistics,320258.0,321345.0,318874.0,319394.0
서대문구 - 5년간 연평균 인구증감률,Statistics,-0.2,-0.5,0.0,0.1
서대문구 - 당해년 총인구,Statistics,317209.0,314547.0,318308.0,320168.0
서산시 - 4년전 총인구,Statistics,169643.0,171364.0,174177.0,175204.0
서산시 - 5년간 연평균 인구증감률,Statistics,1.0,0.9,0.5,0.5
서산시 - 당해년 총인구,Statistics,176379.0,177497.0,177947.0,178618.0
서울특별시 - 4년전 총인구,Statistics,9805506.0,9741871.0,9673936.0,9639541.0
서울특별시 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.7,-0.7,-0.7
서울특별시 - 당해년 총인구,Statistics,9586195.0,9472127.0,9417469.0,9384512.0
서천군 - 4년전 총인구,Statistics,53880.0,53321.0,52604.0,51826.0
서천군 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.6,-1.5,-1.2
서천군 - 당해년 총인구,Statistics,51039.0,50012.0,49509.0,49294.0
서초구 - 4년전 총인구,Statistics,419682.0,414550.0,409491.0,404960.0
서초구 - 5년간 연평균 인구증감률,Statistics,-1.1,-1.4,-1.6,-1.2
서초구 - 당해년 총인구,Statistics,401749.0,392302.0,383181.0,385267.0
성남시 - 4년전 총인구,Statistics,951518.0,944297.0,931393.0,919895.0
성남시 - 5년간 연평균 인구증감률,Statistics,-0.8,-0.8,-0.7,-0.5
성남시 - 당해년 총인구,Statistics,922025.0,913482.0,904690.0,903116.0
성동구 - 4년전 총인구,Statistics,294744.0,302367.0,306796.0,299688.0
성동구 - 5년간 연평균 인구증감률,Statistics,-0.2,-1.3,-2.1,-1.9
성동구 - 당해년 총인구,Statistics,291918.0,286469.0,282131.0,277683.0
성북구 - 4년전 총인구,Statistics,451800.0,445417.0,438734.0,445327.0
성북구 - 5년간 연평균 인구증감률,Statistics,-0.7,-0.6,-0.1,-0.7
성북구 - 당해년 총인구,Statistics,438833.0,435509.0,436113.0,432874.0
성주군 - 4년전 총인구,Statistics,41388.0,41225.0,41299.0,41314.0
성주군 - 5년간 연평균 인구증감률,Statistics,0.1,-0.3,-0.3,-0.1
성주군 - 당해년 총인구,Statistics,41574.0,40804.0,40851.0,41073.0
세종시 - 4년전 총인구,Statistics,242507.0,276589.0,312374.0,338136.0
세종시 - 5년간 연평균 인구증감률,Statistics,9.9,7.3,5.2,3.4
세종시 - 당해년 총인구,Statistics,353933.0,366227.0,382589.0,386261.0
