item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
고령군 - 전년 총인구＜br＞(B),Statistics,38221.0,37498.0,36688.0,35798.0,35389.0,35143.0,35911.0,36047.0,35925.0,35679.0,35892.0,36879.0,36789.0,36776.0,36853.0,36439.0,36069.0,35525.0,34673.0,34122.0,32891.0,32001.0,31922.0
고성군 - 당해년 총인구＜br＞(A),Statistics,34728.0,33818.0,32868.0,32532.0,32167.0,31641.0,30794.0,30734.0,30802.0,30615.0,30485.0,30516.0,30743.0,30760.0,30500.0,30749.0,30871.0,29118.0,28392.0,27869.0,28432.0,28647.0,29117.0
고성군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-2.11,-2.62,-2.81,-1.02,-1.12,-1.64,-2.68,-0.19,0.22,-0.61,-0.42,0.1,0.74,0.06,-0.85,0.82,0.4,-5.68,-2.49,-1.84,2.02,0.76,1.64
고성군 - 전년 총인구＜br＞(B),Statistics,35475.0,34728.0,33818.0,32868.0,32532.0,32167.0,31641.0,30794.0,30734.0,30802.0,30615.0,30485.0,30516.0,30743.0,30760.0,30500.0,30749.0,30871.0,29118.0,28392.0,27869.0,28432.0,28647.0
고양시 - 당해년 총인구＜br＞(A),Statistics,814493.0,840345.0,873006.0,893965.0,910602.0,919365.0,935643.0,950750.0,951001.0,962297.0,973665.0,981220.0,1001942.0,1018013.0,1039839.0,1051970.0,1054236.0,1056853.0,1078859.0,1090738.0,1090339.0,1088153.0,1087607.0
고양시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,1.77,3.17,3.89,2.4,1.86,0.96,1.77,1.61,0.03,1.19,1.18,0.78,2.11,1.6,2.14,1.17,0.22,0.25,2.08,1.1,-0.04,-0.2,-0.05
고양시 - 전년 총인구＜br＞(B),Statistics,800297.0,814493.0,840345.0,873006.0,893965.0,910602.0,919365.0,935643.0,950750.0,951001.0,962297.0,973665.0,981220.0,1001942.0,1018013.0,1039839.0,1051970.0,1054236.0,1056853.0,1078859.0,1090738.0,1090339.0,1088153.0
고창군 - 당해년 총인구＜br＞(A),Statistics,74413.0,69816.0,69878.0,65449.0,63999.0,62427.0,61415.0,60838.0,60668.0,61407.0,60623.0,61048.0,61275.0,60913.0,60897.0,61508.0,61406.0,58017.0,56467.0,55424.0,54200.0,53440.0,53267.0
고창군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.25,-6.18,0.09,-6.34,-2.22,-2.46,-1.62,-0.94,-0.28,1.22,-1.28,0.7,0.37,-0.59,-0.03,1.0,-0.17,-5.52,-2.67,-1.85,-2.21,-1.4,-0.32
고창군 - 전년 총인구＜br＞(B),Statistics,74227.0,74413.0,69816.0,69878.0,65449.0,63999.0,62427.0,61415.0,60838.0,60668.0,61407.0,60623.0,61048.0,61275.0,60913.0,60897.0,61508.0,61406.0,58017.0,56467.0,55424.0,54200.0,53440.0
고흥군 - 당해년 총인구＜br＞(A),Statistics,95960.0,92798.0,91649.0,86907.0,84023.0,81361.0,78952.0,77032.0,75573.0,74375.0,73120.0,72152.0,71259.0,70392.0,69391.0,68469.0,67631.0,66757.0,65972.0,64923.0,63711.0,63263.0,62802.0
고흥군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-5.06,-3.3,-1.24,-5.17,-3.32,-3.17,-2.96,-2.43,-1.89,-1.59,-1.69,-1.32,-1.24,-1.22,-1.42,-1.33,-1.22,-1.29,-1.18,-1.59,-1.87,-0.7,-0.73
고흥군 - 전년 총인구＜br＞(B),Statistics,101071.0,95960.0,92798.0,91649.0,86907.0,84023.0,81361.0,78952.0,77032.0,75573.0,74375.0,73120.0,72152.0,71259.0,70392.0,69391.0,68469.0,67631.0,66757.0,65972.0,64923.0,63711.0,63263.0
곡성군 - 당해년 총인구＜br＞(A),Statistics,38930.0,36916.0,35459.0,34550.0,34343.0,33878.0,33668.0,33032.0,32482.0,32290.0,31714.0,31299.0,31391.0,31084.0,31046.0,30795.0,30566.0,30118.0,29376.0,28514.0,27948.0,27542.0,27413.0
곡성군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-5.68,-5.17,-3.95,-2.56,-0.6,-1.35,-0.62,-1.89,-1.67,-0.59,-1.78,-1.31,0.29,-0.98,-0.12,-0.81,-0.74,-1.47,-2.46,-2.93,-1.98,-1.45,-0.47
곡성군 - 전년 총인구＜br＞(B),Statistics,41276.0,38930.0,36916.0,35459.0,34550.0,34343.0,33878.0,33668.0,33032.0,32482.0,32290.0,31714.0,31299.0,31391.0,31084.0,31046.0,30795.0,30566.0,30118.0,29376.0,28514.0,27948.0,27542.0
