item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
구리시 - 전체 교통사고발생건수＜br＞(B),Statistics,600.0,639.0,686.0,663.0,672.0,683.0,699.0,681.0,581.0,585.0,668.0,751.0,758.0,737.0,716.0,702.0,787.0
구미시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,173.0,212.0,210.0,195.0,171.0,180.0,114.0,105.0,97.0,74.0,52.0,66.0,106.0,135.0,105.0,52.0,51.0
구미시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.7,8.5,8.2,7.9,7.1,8.5,5.5,4.8,4.9,3.6,2.7,3.3,6.3,8.0,6.4,3.6,3.5
구미시 - 전체 교통사고발생건수＜br＞(B),Statistics,2243.0,2496.0,2563.0,2480.0,2395.0,2122.0,2079.0,2181.0,1992.0,2081.0,1919.0,2027.0,1693.0,1691.0,1652.0,1453.0,1451.0
군산시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,70.0,61.0,76.0,85.0,98.0,61.0,48.0,67.0,62.0,79.0,35.0,33.0,32.0,41.0,42.0,64.0,38.0
군산시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.6,4.6,5.8,5.6,6.1,4.0,2.7,3.7,4.7,6.2,3.3,2.7,2.9,3.7,3.6,5.4,3.4
군산시 - 전체 교통사고발생건수＜br＞(B),Statistics,1252.0,1316.0,1312.0,1505.0,1614.0,1522.0,1759.0,1793.0,1315.0,1266.0,1066.0,1225.0,1103.0,1100.0,1167.0,1183.0,1103.0
군위군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,3.0,6.0,3.0,5.0,4.0,2.0,3.0,7.0,1.0,,,6.0,7.0,2.0,2.0,2.0,2.0
군위군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,2.0,4.1,2.3,4.8,3.5,2.1,2.7,5.5,0.9,,,4.4,6.6,1.7,2.2,1.7,1.8
군위군 - 전체 교통사고발생건수＜br＞(B),Statistics,148.0,146.0,131.0,105.0,113.0,94.0,113.0,127.0,117.0,103.0,86.0,135.0,106.0,119.0,93.0,115.0,111.0
군포시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,26.0,37.0,53.0,74.0,24.0,36.0,27.0,22.0,15.0,14.0,11.0,18.0,11.0,17.0,18.0,14.0,9.0
군포시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,6.3,6.8,8.5,9.4,3.4,5.1,3.6,2.7,2.1,2.0,1.7,2.8,1.6,2.7,3.0,2.9,1.9
군포시 - 전체 교통사고발생건수＜br＞(B),Statistics,415.0,544.0,624.0,791.0,710.0,710.0,748.0,822.0,712.0,698.0,659.0,650.0,709.0,622.0,593.0,488.0,485.0
