item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
포천시 - 실업률 (％),Statistics,4.0,2.7,3.7,2.8,3.6,3.0,3.0,3.6,2.7,2.3,2.3,2.2
포항시 - 실업률 (％),Statistics,2.2,2.2,1.4,1.8,2.6,2.6,3.5,3.5,3.7,2.8,2.5,2.9
하남시 - 실업률 (％),Statistics,3.0,4.5,2.1,2.9,3.7,2.5,2.3,1.8,3.4,1.5,1.9,3.4
하동군 - 실업률 (％),Statistics,1.4,1.1,1.1,0.9,1.5,0.4,0.3,0.7,1.8,0.5,0.8,0.9
함안군 - 실업률 (％),Statistics,1.7,1.4,3.4,2.9,2.2,2.6,2.7,2.1,2.0,2.0,2.2,1.0
함양군 - 실업률 (％),Statistics,1.2,0.2,0.8,1.8,0.5,2.1,0.8,1.2,1.1,0.6,0.6,0.8
함평군 - 실업률 (％),Statistics,0.2,0.8,1.9,0.9,0.4,0.7,0.3,0.6,1.1,0.6,0.4,0.7
합천군 - 실업률 (％),Statistics,0.3,0.2,0.5,0.3,0.4,1.1,1.4,1.0,1.0,0.8,1.0,0.3
해남군 - 실업률 (％),Statistics,0.4,1.0,0.8,0.9,0.7,0.4,0.3,0.3,0.6,0.7,0.9,0.1
홍성군 - 실업률 (％),Statistics,1.8,1.2,1.6,2.6,1.2,2.0,2.7,1.3,1.4,1.3,2.3,2.4
홍천군 - 실업률 (％),Statistics,0.3,1.2,0.5,2.0,2.0,1.6,2.5,2.8,1.8,1.4,1.2,1.6
화성시 - 실업률 (％),Statistics,2.8,2.0,3.1,2.6,2.3,3.7,3.6,4.0,3.7,2.5,2.8,2.9
화순군 - 실업률 (％),Statistics,1.6,2.2,3.4,2.7,1.8,1.0,2.4,2.2,3.0,2.3,1.3,1.5
화천군 - 실업률 (％),Statistics,0.7,0.3,0.7,0.2,0.4,1.1,0.7,1.9,1.7,0.3,0.5,0.3
횡성군 - 실업률 (％),Statistics,1.0,1.2,1.9,1.3,0.7,1.4,2.0,1.4,1.2,1.9,1.8,1.4
