item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
광양시 - 계 - 농가수,Statistics,7.0,18.0,21.0,20.0,20.0,21.0,21.0,21.0,23.0,22.0
광양시 - 계 - 출하량,Statistics,507.0,358.0,345.3,497.0,394.71,564.01,578.29,472.61,770.31,1080.45
광양시 - 무항생제축산물 - 건수,Statistics,7.0,18.0,21.0,19.0,19.0,20.0,20.0,20.0,22.0,21.0
광양시 - 무항생제축산물 - 농가수,Statistics,7.0,18.0,21.0,19.0,19.0,20.0,20.0,20.0,22.0,21.0
광양시 - 무항생제축산물 - 출하량,Statistics,507.0,358.0,345.3,497.0,374.71,543.01,564.29,402.61,737.51,1040.45
광양시 - 유기축산물 - 건수,Statistics,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
광양시 - 유기축산물 - 농가수,Statistics,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
광양시 - 유기축산물 - 출하량,Statistics,,,,,20.0,21.0,14.0,70.0,32.8,40.0
광주광역시 소계 - 계 - 건수,Statistics,3.0,5.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
광주광역시 소계 - 계 - 농가수,Statistics,3.0,5.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
광주광역시 소계 - 계 - 출하량,Statistics,187.0,253.0,2132.6,359.0,164.86,906.1,921.15,1025.29,989.41,1160.77
광주광역시 소계 - 무항생제축산물 - 건수,Statistics,3.0,5.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
