item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
군산시 - 녹지지역 - 면적,Statistics,82092210.0,82088662.0,82088229.0,82057571.0,82055713.0,82085010.0,82138284.0,81832013.0,81832013.0,82993556.0,82993556.0,82993556.0,82993556.0,82993556.0,82993556.0
군산시 - 녹지지역 - 비율,Statistics,39.57,39.57,39.57,39.57,39.56,39.58,39.6,39.46,39.46,40.02,40.02,40.02,40.02,40.02,40.02
군산시 - 도시지역 - 면적,Statistics,207448821.0,207448822.0,207448822.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0
군위군 - 녹지지역 - 면적,Statistics,6123042.0,6123042.0,6123042.0,6123042.0,6123042.0,6105365.0,6105365.0,6105365.0,6105365.0,6105365.0,6093936.0,6093936.0,6093936.0,6093936.0,
군위군 - 녹지지역 - 비율,Statistics,82.26,82.26,82.26,82.26,82.26,82.02,82.02,82.02,82.02,82.02,84.1,84.1,84.1,84.1,
군위군 - 도시지역 - 면적,Statistics,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7246000.0,7246000.0,7246000.0,7246000.0,
군포시 - 녹지지역 - 면적,Statistics,25439218.0,25436947.0,25441025.0,25478613.0,25284119.0,25284119.0,25447904.0,25447904.0,25447904.0,25270914.0,24911040.0,24911040.0,24906867.0,24902734.0,24902734.0
군포시 - 녹지지역 - 비율,Statistics,69.96,69.95,69.97,69.88,69.35,69.35,69.98,69.98,69.98,69.31,68.32,68.32,68.31,68.3,68.3
군포시 - 도시지역 - 면적,Statistics,36362000.0,36362000.0,36362000.0,36460654.0,36460654.0,36460654.0,36362000.0,36362000.0,36362000.0,36460228.0,36460228.0,36460228.0,36460323.0,36459541.0,36459541.0
금산군 - 녹지지역 - 면적,Statistics,24134778.0,24134778.0,24184752.0,24184752.0,24184752.0,24184752.0,24184752.0,24162265.0,24054344.0,24054344.0,24054344.0,24054344.0,24054344.0,24054344.0,24054344.0
금산군 - 녹지지역 - 비율,Statistics,82.29,82.29,82.24,82.24,82.24,82.24,82.24,82.03,81.67,81.67,81.67,81.67,81.67,81.67,81.67
금산군 - 도시지역 - 면적,Statistics,29328530.0,29328530.0,29406235.0,29406235.0,29406235.0,29406235.0,29406235.0,29454111.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0
금정구 - 녹지지역 - 면적,Statistics,53966769.0,53757889.0,53744348.0,53744201.0,53744201.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53553831.0,53537691.0,53537691.0
금정구 - 녹지지역 - 비율,Statistics,82.8,82.48,82.46,82.46,82.46,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.16,82.14,82.14
금정구 - 도시지역 - 면적,Statistics,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0
금천구 - 녹지지역 - 면적,Statistics,2820000.0,2820000.0,2820000.0,2820000.0,2820000.0,2820000.0,2820000.0,2820000.0,2895630.0,2895630.0,2895630.0,2895630.0,2895630.0,2895630.0,2895630.0
금천구 - 녹지지역 - 비율,Statistics,21.09,21.09,21.09,21.09,21.09,21.09,21.09,21.09,22.25,22.25,22.25,22.25,22.25,22.25,22.25
금천구 - 도시지역 - 면적,Statistics,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0
