item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
장성군 - 15 - 29세 - 고용률 (%),Statistics,35.3,33.4,29.8,31.1,34.7,32.3,39.0,35.6,35.6,33.1,33.9,35.1
장수군 - 15 - 29세 - 고용률 (%),Statistics,47.3,37.7,37.2,34.9,33.5,43.3,40.7,33.4,37.3,40.1,42.3,38.4
장흥군 - 15 - 29세 - 고용률 (%),Statistics,52.1,53.0,52.4,43.1,44.7,41.9,41.2,38.5,39.3,49.4,47.3,57.3
전주시 - 15 - 29세 - 고용률 (%),Statistics,30.9,31.7,27.6,27.8,28.1,26.9,31.4,28.7,32.0,35.3,36.6,37.1
정선군 - 15 - 29세 - 고용률 (%),Statistics,46.9,41.6,45.5,41.5,46.3,41.0,52.6,34.8,32.5,37.4,43.4,42.0
정읍시 - 15 - 29세 - 고용률 (%),Statistics,29.2,28.1,33.0,26.9,26.0,26.7,32.5,32.1,37.9,35.5,35.9,39.2
제주시 - 15 - 29세 - 고용률 (%),Statistics,39.9,39.4,36.5,43.5,42.8,44.0,42.4,37.9,41.9,40.2,45.8,40.7
제천시 - 15 - 29세 - 고용률 (%),Statistics,29.7,32.5,36.0,31.8,35.2,33.0,36.2,35.9,33.5,35.5,39.7,43.1
증평군 - 15 - 29세 - 고용률 (%),Statistics,39.5,47.3,43.0,44.0,42.9,41.9,40.6,35.8,42.7,46.9,47.9,40.1
진도군 - 15 - 29세 - 고용률 (%),Statistics,45.2,52.7,50.5,40.6,50.2,42.8,50.5,52.0,52.6,49.7,55.8,55.1
진안군 - 15 - 29세 - 고용률 (%),Statistics,34.8,43.9,44.0,37.6,47.8,46.2,47.0,36.0,40.8,41.7,44.2,39.4
진주시 - 15 - 29세 - 고용률 (%),Statistics,28.9,29.0,29.1,33.1,32.9,31.2,32.4,29.3,29.0,29.3,35.1,33.4
진천군 - 15 - 29세 - 고용률 (%),Statistics,47.7,41.8,45.4,43.9,47.4,44.8,47.1,43.7,50.4,49.2,53.2,54.3
창녕군 - 15 - 29세 - 고용률 (%),Statistics,43.6,42.7,46.4,39.8,42.1,35.9,46.6,40.1,37.0,52.7,38.3,37.3
창원시 - 15 - 29세 - 고용률 (%),Statistics,33.6,36.7,36.2,37.0,36.9,39.0,39.5,35.4,39.3,39.8,37.9,39.5
천안시 - 15 - 29세 - 고용률 (%),Statistics,39.5,38.1,37.8,35.0,36.6,39.8,46.9,43.6,43.2,44.9,46.1,45.3
철원군 - 15 - 29세 - 고용률 (%),Statistics,33.6,40.8,43.1,45.8,42.5,32.9,36.6,23.6,26.8,44.1,33.0,30.9
청도군 - 15 - 29세 - 고용률 (%),Statistics,34.3,32.0,30.2,34.8,34.4,32.5,32.3,32.5,37.6,35.4,38.6,42.3
청송군 - 15 - 29세 - 고용률 (%),Statistics,36.3,47.3,53.5,47.0,51.5,34.5,57.1,30.4,42.6,54.9,48.9,43.3
청양군 - 15 - 29세 - 고용률 (%),Statistics,38.4,33.8,40.0,43.0,43.1,40.5,40.8,43.9,42.4,43.6,50.3,44.2
청원군 - 15 - 29세 - 고용률 (%),Statistics,41.4,40.5,,,,,,,,,,
