item,category,2011,2013,2015,2017,2019,2021,2023
대구광역시 - 계 - - 영화,Statistics,82.0,85.0,89.3,90.9,88.5,66.016,75.14
대구광역시 - 계 - - 음악·연주회·콘서트,Statistics,23.1,21.6,18.3,22.2,20.4,12.886,25.313
대구광역시 - 계 - · 관람 횟수(평균),Statistics,2.5,2.5,2.7,2.7,1.9,2.536,2.037
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 관람함,Statistics,56.3,62.0,66.6,67.3,61.9,18.631,50.678
대구광역시 - 계 - 관람횟수(평균),Statistics,8.1,7.8,8.0,8.2,6.7,4.308,6.761
대구광역시 - 남자 - - 기타,Statistics,,,,,,,0.725
대구광역시 - 남자 - - 무용,Statistics,1.0,1.4,0.3,1.9,0.9,1.318,1.537
대구광역시 - 남자 - - 문학행사,Statistics,,,,,,,8.713
대구광역시 - 남자 - - 미술관,Statistics,12.9,13.6,17.3,15.5,12.2,16.611,19.891
대구광역시 - 남자 - - 박물관,Statistics,23.7,21.8,22.9,16.9,17.0,17.313,22.419
대구광역시 - 남자 - - 스포츠 경기,Statistics,32.5,39.4,31.7,28.4,31.8,34.791,34.724
대구광역시 - 남자 - - 연극·마당극·뮤지컬,Statistics,17.0,19.8,14.9,15.2,13.3,7.301,14.333
대구광역시 - 남자 - - 영화,Statistics,79.9,82.6,86.3,88.4,85.8,62.047,76.181
대구광역시 - 남자 - - 음악·연주회·콘서트,Statistics,19.7,18.0,14.5,18.9,14.0,11.994,20.452
대구광역시 - 남자 - · 관람 횟수(평균),Statistics,2.4,2.3,2.7,3.0,1.9,1.806,2.054
대구광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 남자 - 관람함,Statistics,53.9,60.5,65.9,66.4,60.6,17.669,48.051
대구광역시 - 남자 - 관람횟수(평균),Statistics,7.9,7.4,7.8,7.9,6.4,4.305,6.963
대구광역시 - 여자 - - 기타,Statistics,,,,,,,0.566
대구광역시 - 여자 - - 무용,Statistics,1.5,2.1,1.8,1.6,1.2,2.296,1.193
대구광역시 - 여자 - - 문학행사,Statistics,,,,,,,8.468
대구광역시 - 여자 - - 미술관,Statistics,19.6,21.7,22.4,22.3,19.9,20.581,31.859
대구광역시 - 여자 - - 박물관,Statistics,29.5,24.4,25.3,18.7,21.7,16.895,28.017
대구광역시 - 여자 - - 스포츠 경기,Statistics,14.1,12.0,11.0,13.1,13.4,10.067,21.382
대구광역시 - 여자 - - 연극·마당극·뮤지컬,Statistics,27.4,27.8,24.7,21.4,19.8,14.446,21.055
대구광역시 - 여자 - - 영화,Statistics,84.0,87.2,92.0,93.3,91.1,69.422,74.248
대구광역시 - 여자 - - 음악·연주회·콘서트,Statistics,26.1,24.9,21.8,25.2,26.2,13.65,29.481
대구광역시 - 여자 - · 관람 횟수(평균),Statistics,2.5,2.6,2.7,2.4,1.9,3.087,2.023
대구광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 여자 - 관람함,Statistics,58.6,63.3,67.2,68.2,63.1,19.545,53.171
대구광역시 - 여자 - 관람횟수(평균),Statistics,8.4,8.3,8.1,8.4,7.1,4.311,6.588
대전광역시 - 계 - - 기타,Statistics,,,,,0.1,,1.043
대전광역시 - 계 - - 무용,Statistics,3.4,2.8,1.3,3.5,1.6,0.773,2.47
대전광역시 - 계 - - 문학행사,Statistics,,,,,,,8.044
대전광역시 - 계 - - 미술관,Statistics,25.2,20.6,22.6,21.8,18.7,12.8,22.569
대전광역시 - 계 - - 박물관,Statistics,30.2,27.8,28.6,28.2,24.8,15.982,23.375
대전광역시 - 계 - - 스포츠 경기,Statistics,28.7,22.7,23.3,29.5,28.6,23.479,31.998
대전광역시 - 계 - - 연극·마당극·뮤지컬,Statistics,21.2,20.9,18.3,17.7,16.1,9.469,16.166
대전광역시 - 계 - - 영화,Statistics,77.5,87.6,87.4,87.8,86.2,64.613,79.31
대전광역시 - 계 - - 음악·연주회·콘서트,Statistics,30.1,24.2,23.2,27.1,28.0,13.422,26.925
대전광역시 - 계 - · 관람 횟수(평균),Statistics,2.1,2.4,2.0,2.9,2.2,2.337,2.248
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 계 - 관람함,Statistics,61.5,73.8,69.5,70.0,69.5,26.92,57.695
대전광역시 - 계 - 관람횟수(평균),Statistics,8.6,8.9,8.4,9.6,7.7,3.937,7.188
대전광역시 - 남자 - - 기타,Statistics,,,,,,,1.477
대전광역시 - 남자 - - 무용,Statistics,3.0,1.6,0.8,2.9,1.0,1.553,2.631
대전광역시 - 남자 - - 문학행사,Statistics,,,,,,,7.243
대전광역시 - 남자 - - 미술관,Statistics,21.6,17.2,19.1,15.5,16.7,9.521,16.873
대전광역시 - 남자 - - 박물관,Statistics,31.6,25.7,27.9,25.9,23.6,16.594,21.208
대전광역시 - 남자 - - 스포츠 경기,Statistics,40.6,32.8,33.1,40.7,39.7,34.855,44.735
대전광역시 - 남자 - - 연극·마당극·뮤지컬,Statistics,17.0,16.6,14.7,13.0,11.8,8.997,10.392
대전광역시 - 남자 - - 영화,Statistics,72.7,86.6,86.1,84.5,83.9,58.029,78.34
대전광역시 - 남자 - - 음악·연주회·콘서트,Statistics,26.8,20.0,19.9,21.5,20.4,12.25,22.795
대전광역시 - 남자 - · 관람 횟수(평균),Statistics,2.1,2.4,1.8,3.0,2.1,2.664,2.33
대전광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 남자 - 관람함,Statistics,60.6,73.6,65.9,70.1,68.6,27.01,59.678
